RANKING,OWNERNAME,OWNERID,CHAMPIONSHIPTYPE,LEADINGEARNERHORSE,TOTALOWNERCHAMPIONSHIPWINS,TOTALOWNERCHAMPIONSHIPSRUNS,TOTALOWNERPRIZEMONEYWON
1106,"Mr W. A. Harrison-Allan",530650,JUMP,"Justmyimagination (GB)",0,2,1831.19
1107,"Mr J. Reddington",1029637,JUMP,"Lost In The Mist (IRE)",0,5,1830.71
1108,"Mr Eamon McElligott",1177393,JUMP,"Olympus (IRE)",0,3,1822.57
1109,"Mr G. Thompson",797912,JUMP,"Old Harry Rocks (IRE)",0,4,1802.40
1110,"Foxtrot Racing Night Fever",1014867,JUMP,"Night Fever (GER)",0,4,1794.08
1111,"Clova Syndicate and Mrs J A Niven",1134546,JUMP,"Malystic (GB)",0,1,1794.00
1113,"Maximum Racing & Partner",1170450,JUMP,"Voodoo Doll (IRE)",0,4,1783.38
1115,"Mr Harry Redknapp",520553,JUMP,"Hayedo (GER)",0,2,1779.56
1117,"Mr C. McGuckin",1079671,JUMP,"No Trouble (IRE)",0,1,1756.30
1118,"Mrs Claire Ellison",715383,JUMP,"Jet Fighter (IRE)",0,1,1756.30
1119,"The Footie Partnership",1118353,JUMP,"Donnie Azoff (IRE)",0,2,1756.30
1121,"Mr Ken McGarrity",937026,JUMP,"Sirwilliamwallace (IRE)",0,2,1755.60
1122,"Mr M. Vaughan",1121266,JUMP,"City Flame (GB)",0,2,1754.59
1123,"D & D Armstrong Ltd & Mr L Westwood",1141968,JUMP,"Darius des Sources (FR)",0,4,1752.24
1124,"Mr J. T. Brown",749585,JUMP,"Pardon Me (GB)",0,5,1751.68
1125,"Mogs Morgan",1160111,JUMP,"Orchard Grove (IRE)",0,3,1750.26
1126,"Mutual Friends",957114,JUMP,"Blooriedotcom (IRE)",0,2,1750.08
1127,"GG Thoroughbreds XII & Partner",1144851,JUMP,"Ballinsker (IRE)",0,2,1745.84
1128,"The Deesiders",1148601,JUMP,"Authorizo (FR)",0,3,1731.44
1129,"Peter Dawes and Nick Pitcher",1170907,JUMP,"Muy Bien (IRE)",0,1,1731.21
1130,"Exors of the Late Sarah Davies, & Family",1136861,JUMP,"Wild Wilbur (IRE)",0,1,1731.21
1131,"Mr D. A. Poole",509627,JUMP,"Gibraltarian (IRE)",0,4,1731.21
1132,"Mrs E. Lucey-Butler",549804,JUMP,"Martin Spirit (IRE)",0,1,1718.67
1133,"Mr John Kennedy",1142595,JUMP,"Lake Shore Drive (IRE)",0,1,1718.67
1134,"Mike Hemmings and west racing",1176818,JUMP,"Mickyh (IRE)",0,1,1718.67
1135,"Heart of the South Racing 119",1143186,JUMP,"Waikiki Waves (FR)",0,1,1705.44
1136,"Mr G. J. Fisher",724712,JUMP,"The Late Legend (GB)",0,1,1705.44
1137,"Mr James Francis Brennan",1080290,JUMP,"Young Jack Yates (IRE)",0,1,1705.44
1138,"Proudley and Whymark Partnership",1140426,JUMP,"Milanese Rose (IRE)",0,3,1704.96
1139,"Mr Fraser McClung",1010758,JUMP,"Tokaramore (GB)",0,5,1703.20
1142,"Mrs M C Litton & Countess Cathcart",1140209,JUMP,"Yccs Portocervo (FR)",0,2,1679.24
1143,"Mrs M. Chapman",730104,JUMP,"Glacier Fox (GB)",0,16,1667.40
1144,"Mr Padraic Cawley",997787,JUMP,"Presenting Dylan (IRE)",0,1,1655.94
1146,"Mrs Tracey Barfoot-Saunt",741379,JUMP,"Earth Spirit (GB)",0,5,1645.36
1147,"French Gold",1073257,JUMP,"Gingembre Menthe (FR)",0,2,1643.64
1148,"Mr Tony Forbes",508883,JUMP,"Fleursals (GB)",0,9,1639.17
1149,"J Fyffe & S Townshend",1166460,JUMP,"Nebuchadnezzar (FR)",0,4,1637.40
1151,Resdev,1055034,JUMP,"The Resdev Way (GB)",0,4,1627.96
1152,"Future Champions Racing Syndicate",1165466,JUMP,"Tinnahalla (IRE)",0,6,1620.24
1154,"Martin Keighley Racing Partnership 5",1137534,JUMP,"Capricia (IRE)",0,1,1618.31
1157,"T M W Partnership",966775,JUMP,"Menapian (IRE)",0,2,1583.86
1158,"The Racing Suite",1168500,JUMP,"Fathers Advice (IRE)",0,3,1582.56
1159,"Mystic Meg Limited",721440,JUMP,"Astroman (GB)",0,2,1580.10
1160,"Gigginstown House Stud",797121,JUMP,"Torygraph (IRE)",0,1,1580.04
1161,"The Colin Tizzard Racing Club",1106816,JUMP,"Catch The Cuban (GB)",0,1,1580.04
1162,"Maximum Racing",1162876,JUMP,"Voodoo Doll (IRE)",0,1,1578.09
1163,"Mr Russell Lane",1129999,JUMP,"Inferno Sacree (FR)",0,7,1576.06
1164,"Mr John Terry",841708,JUMP,"Duhallow Tommy (IRE)",0,1,1567.50
1165,"Mrs M. A. Scott",852080,JUMP,"Tartan Cookie (IRE)",0,2,1562.06
1166,"CS Partnership",1108413,JUMP,"Millies Mite (IRE)",0,4,1558.99
1168,"Mr Mervyn Jones",515971,JUMP,"Master Sunrise (IRE)",0,5,1534.26
1170,"The Jackson Partnership",1101346,JUMP,"That's Your Lottie (GB)",0,5,1528.96
1171,"The Nascent Partnership",1168231,JUMP,"Vinnie The Hoddie (IRE)",0,2,1520.67
1173,"Ratkatcha Racing",1166915,JUMP,"My Little Toni (GB)",0,7,1505.80
1174,"Martin Donlin and Lynne Bodman",1155404,JUMP,"Orange Gina (GB)",0,2,1505.76
1177,"Mr A. R. Bromley",753250,JUMP,"Mystic Man (IRE)",0,1,1505.40
1178,"The Long Hop Syndicate",1155727,JUMP,"Treefinch (GB)",0,2,1505.20
1179,"Graham Clarkson & Andrew Smelt",1125977,JUMP,"Barnaviddaun (IRE)",0,1,1504.80
1180,"Elmley Queen 2",1140939,JUMP,"Dun Bay Creek (GB)",0,1,1504.80
1181,"Premier Plastering (UK) Limited",1102644,JUMP,"For Pleasure (IRE)",0,1,1504.80
1182,"Paul and Valerie Holland",1072831,JUMP,"Ballygoe (IRE)",0,2,1503.68
1185,"Mr Daniel Cherriman",1086385,JUMP,"Reikers Island (IRE)",0,1,1488.60
1186,"Mr R. J. Napper and Mr S Reeves",825474,JUMP,"Vinnie's Icon (IRE)",0,3,1480.31
1187,"KSB Bloodstock & Mrs Celia Djivanovic",1028979,JUMP,"Gambie Tiep (FR)",0,3,1479.30
1188,"Miss K. Scott",867082,JUMP,"Cooldine Bog (IRE)",0,5,1478.60
1189,"Mr Dan Macdonald",1029439,JUMP,"Kilbrainy (IRE)",0,4,1474.40
1190,"The FOB Racing Partnership 12",1157076,JUMP,"Blue Sans (IRE)",0,3,1467.84
1191,"Mr G. L. Porter",554299,JUMP,"Go Sacre Go (FR)",0,1,1463.33
1192,"Mrs Barbara Butterworth",519217,JUMP,"Coeur Aimant (FR)",0,2,1455.22
1194,"Mr Richard Charles Dodson",512701,JUMP,"Forget You Not (FR)",0,3,1452.40
1195,"Mr S. J. Cox",1033667,JUMP,"Almost Gold (IRE)",0,3,1452.40
1196,"Mrs S. Longsdon",956568,JUMP,"Soldat Forte (IRE)",0,2,1442.96
1197,"Genesis Racing Partnership II",1096053,JUMP,"The Macon Lugnatic (GB)",0,1,1429.56
1198,"Mr & Mrs K. B. Snook",985395,JUMP,"Shanroe Smooch (IRE)",0,4,1429.39
1199,"Mr & Mrs D Davidson & The Friday Lions",1114368,JUMP,"Doktor Glaz (FR)",0,2,1428.44
1200,"Julie and David R Martin and Dan Hall",1125677,JUMP,"Peaked Too Soon (GB)",0,2,1428.44
1201,"Mrs C Barclay & Mr P Adams",1178162,JUMP,"Cash Again (FR)",0,3,1428.44
1203,"Mr S Murrills & Mr J Ewart",1147228,JUMP,"Empire de Maulde (FR)",0,1,1413.00
1204,"URSA Major and Partners",1164327,JUMP,"Furax (FR)",0,3,1402.24
1205,"Qdos Racing",1086040,JUMP,"Heavey (GB)",0,4,1402.24
1206,"Cruikshank Coltherd",1119444,JUMP,"Budarri (GB)",0,4,1400.00
1207,"On A Mission",1052367,JUMP,"Tikkinthebox (IRE)",0,4,1400.00
1208,"Ogilvy, Shaw, Morley&The SDS Syndicate",1128234,JUMP,"Some Day Soon (IRE)",0,4,1400.00
1211,"Miss R. J. Smith-Maxwell",1079780,JUMP,"Ecco (GB)",0,1,1391.94
1212,"Mrs Helen Sinclair",907798,JUMP,"Danking (GB)",0,2,1390.82
1215,"The Midnight Chasers",1158205,JUMP,"Its A Midnight (GB)",0,1,1366.86
1216,"The Sheroot Partnership",521618,JUMP,"Oakmont (FR)",0,3,1355.02
1217,"B. M. G. Group",899388,JUMP,"Good Impression (GB)",0,1,1354.86
1218,"Mr Stephen Price",757076,JUMP,"Outback Frontiers (IRE)",0,2,1354.86
1219,"Martin Broughton & Friends 1",902849,JUMP,"Arrivederci (FR)",0,1,1354.32
1220,"Mr Alan Udale",1109695,JUMP,"Paddy The Horse (IRE)",0,1,1354.32
1221,"Hanford's Chemist Ltd",833883,JUMP,"Reign Suepreme (IRE)",0,1,1354.32
1222,"Mrs Sally White",44445,JUMP,"Makety (GB)",0,2,1353.20
1223,"Mr Dominic Christian",1047911,JUMP,"Jack Thunder (IRE)",0,4,1353.12
1224,"Roger & Yvonne Allsop",1046278,JUMP,"Samtara (GB)",0,1,1346.27
1225,"Mrs B. Russell & Mr D. V. Gardner",1012713,JUMP,"Testflight (GB)",0,4,1317.67
1226,"D A Harrison Racing",1116606,JUMP,"Solway Molly (GB)",0,3,1317.40
1227,"Iain Jardine Racing Club",1140291,JUMP,"Ten Gs (IRE)",0,4,1317.00
1228,"A D Spence & John Connolly",1152179,JUMP,"Progressive (GB)",0,1,1304.16
1229,"Max Young Racing Club",1160785,JUMP,"Jeu de Mots (FR)",0,7,1303.04
1230,"Neil & Jane Maltby",952723,JUMP,"Hoot At Midnight (GB)",0,2,1298.67
1231,"Mr T. J. C. Seegar",514210,JUMP,"Vanderbilt (IRE)",0,2,1296.82
1232,"Mr K. Bishop",545904,JUMP,"Lets Go Dutchess (GB)",0,4,1290.54
1233,"Lady S Toomes, Mrs J Hill & Partners",1172709,JUMP,"Amber Run (IRE)",0,6,1290.54
1234,"Broadsword Group Ltd",1110475,JUMP,"Mellow Ben (IRE)",0,2,1290.50
1235,"Just 4 Fun",1070524,JUMP,"Cheer's Delboy (IRE)",0,2,1289.17
1238,Origin,1171453,JUMP,"Old Jewry (IRE)",0,4,1277.96
1240,"Mrs J. Evans",701085,JUMP,"Lord Getaway (IRE)",0,3,1277.76
1242,"Canter Banter Racing",1146088,JUMP,"Moonshine Molly (IRE)",0,1,1254.50
1244,"Mr Chris McSharry",626175,JUMP,"Timetotalk (IRE)",0,4,1254.50
1246,"Mr G. A. Moore",513529,JUMP,"Always Busy (IRE)",0,1,1254.25
1247,"Mark & Maria Adams",1174700,JUMP,"Rosy Redrum (IRE)",0,3,1254.25
1248,"The Switched On Club",1163674,JUMP,"Switch Partner (IRE)",0,2,1254.00
1250,"Castle View Racing",1100570,JUMP,"Atomic Angel (GB)",0,2,1252.88
1251,"Fgd Limited",1140451,JUMP,"Rock The House (IRE)",0,5,1240.08
1253,"Opulence Thorougbreds NH & Partner",1155605,JUMP,"Brooksway Fair (IRE)",0,1,1229.20
1254,"Mr Fergal O'Brien",559782,JUMP,"Night On The Town (GB)",0,4,1228.79
1255,"Mr Ian Ender",547022,JUMP,"Demi Sang (FR)",0,2,1227.80
1256,"Mr Clifford Bull & Mrs Janet Gibbs",1170417,JUMP,"Honestlyntrufully (IRE)",0,3,1227.80
1257,"Sal's Pals",1153623,JUMP,"Poet's Corner (GB)",0,3,1227.80
1258,"Mr G. Wells",1174130,JUMP,"Cirrus (GB)",0,2,1215.26
1259,"Mr P. Dando",552729,JUMP,"Chantilly Haze (GB)",0,4,1215.26
1260,"Simon & Liz Hunt",1080256,JUMP,"Enrichissant (FR)",0,2,1213.89
1261,"Gillian Boanas Racing",1173956,JUMP,"Teescomponents Lad (GB)",0,1,1212.04
1264,"Mr N. Byrne",931785,JUMP,"Shalott (IRE)",0,2,1208.99
1265,"Pauline and Camilla Southerington",1156447,JUMP,"Lleyton (IRE)",0,2,1208.99
1267,"Glanvilles Stud Partners",1072337,JUMP,"Sam's Amour (GB)",0,1,1204.32
1268,"Mr Jerry Hinds & Mr Ashley Head",1137321,JUMP,"Symphorine (FR)",0,1,1204.32
1269,"Mrs Jenny Gordon",515496,JUMP,"Invictus de Brion (FR)",0,1,1204.32
1270,"Mrs A. Frost",1071323,JUMP,"Vienna Girl (GB)",0,1,1204.32
1271,"Unique Financial Racing Partnership",1160034,JUMP,"Titanium Bullet (IRE)",0,1,1204.32
1272,"Mr Kevin Dove",1129471,JUMP,"Forever A Dove (IRE)",0,1,1204.32
1275,"Phil Kelly & Peter Hiatt",1105317,JUMP,"Mini Rivo (IRE)",0,3,1204.32
1276,"BJordan,BrianJordan,SJordan&NMcConnell",1134844,JUMP,"Hold The Note (IRE)",0,2,1204.08
1278,"Knowle Racing Stables Limited",1141217,JUMP,"Laura Bullion (IRE)",0,12,1202.40
1279,"Peter Beadles",1058375,JUMP,"The Bandit (IRE)",0,2,1191.30
1280,"Mrs Allison Stamper",17908,JUMP,"Geyser (GB)",0,4,1190.18
1281,"County Set Six & Partner",1104590,JUMP,"Late Date (IRE)",0,2,1185.86
1284,"The Dream Big Syndicate",1121903,JUMP,"Fresh New Dawn (IRE)",0,3,1172.68
1286,"Miss Heritage Partnership",1005818,JUMP,"Miss Heritage (IRE)",0,2,1168.08
1287,"Kennet Valley Thoroughbreds IX",1074015,JUMP,"Fast Forward (FR)",0,2,1166.22
1288,"Matt FitzGerald and The Songsters",1096690,JUMP,"Choral Work (GB)",0,3,1164.72
1289,"Mr J L and Mrs H R Gledson",1141117,JUMP,"Maisie Too (GB)",0,2,1162.30
1290,"Mrs G. Davies",1000031,JUMP,"Fanamix (FR)",0,2,1158.83
1291,"Mr R. J. Bevis",556342,JUMP,"Unblinking (GB)",0,4,1158.83
1293,"John Nicholls Racing",1157693,JUMP,"Psychedelic Rock (GB)",0,1,1153.68
1294,"Mr C. J. Haughey",1049275,JUMP,"Keepyourdreamsbig (FR)",0,1,1153.68
1296,"Kevin Lloyd & Nicky Turner",1149426,JUMP,"Storm Lord (IRE)",0,3,1152.56
1297,"Don't tell the girls",1169144,JUMP,"Getaway Glenda (IRE)",0,5,1152.56
1299,"Twenty To One",1168698,JUMP,"Ten Gs (IRE)",0,4,1141.70
1300,"Miss A. C. Bamford",818813,JUMP,"Quick Draw (IRE)",0,1,1136.20
1301,"Guy Dunphy, Chris Dillon, Mr C Seeney",1163052,JUMP,"Good Time Ahead (IRE)",0,3,1130.18
1302,"Ushers Court",934730,JUMP,"Dylan's Sea Song (GB)",0,3,1130.18
1304,"J Soiza and D Lovatt",1169413,JUMP,"Three Platoon (GB)",0,1,1128.60
1306,Goodtimes,1129023,JUMP,"Caboy (FR)",0,1,1128.60
1309,"Mr Samuel Sutton",1133350,JUMP,"More Joy (FR)",0,2,1117.84
1310,"Ken McGarrity & Partner",1108616,JUMP,"Monsieur Co (FR)",0,3,1114.48
1311,"Chris Grant Racing Club",1169457,JUMP,"Strong Team (IRE)",0,5,1108.20
1312,"Alastair & Pippa McLeish",1129006,JUMP,"Out For Justice (IRE)",0,3,1105.06
1313,"Miss Emma Forman",940459,JUMP,"Rann of Kutch (IRE)",0,4,1105.06
1314,"Mr Alan Jordan",1053517,JUMP,"Running Cloud (IRE)",0,4,1105.06
1315,"McNeill Family & Niall Farrell",1106328,JUMP,"Dino Velvet (FR)",0,2,1103.60
1316,"Elegant Clutter Ltd",988999,JUMP,"Optimistic Bias (IRE)",0,3,1103.52
1317,"Mrs C. J. Bibbey",512270,JUMP,"Perryville (IRE)",0,2,1098.94
1318,"Mrs S. F. Dixon",526439,JUMP,"Captain Zebo (IRE)",0,3,1097.32
1319,"The Peter Partnership",815976,JUMP,"Top Drawer (IRE)",0,5,1095.64
1320,"Geoff and Elspeth Adam",1155161,JUMP,"Racks Cross (IRE)",0,4,1084.76
1322,"Peel Racing Syndicate",1121708,JUMP,"Big Nasty (GB)",0,1,1078.44
1325,"The Wife Loves It Partnership",1073015,JUMP,"Midnight Centurion (GB)",0,1,1078.44
1326,"Foxtrot Racing Beholden",1101844,JUMP,"Beholden (GB)",0,1,1078.44
1327,"Mr David Gibbons",514815,JUMP,"Kalaya (IRE)",0,1,1078.44
1328,"Gardiner and The Cool Runnings Team",1177544,JUMP,"Heritier (FR)",0,1,1078.44
1330,"Mr Michael Blencowe",1139024,JUMP,"Quickbuck (IRE)",0,4,1078.44
1332,"Burton, Copley & Todd",1099163,JUMP,"Thomas Todd (GB)",0,2,1072.20
1333,"Mrs Caroline Louise Balmer and Partner",1177038,JUMP,"Beerenberg (GB)",0,2,1067.60
1334,"Golden Equinox Racing & Partner",1146801,JUMP,"Hiconic (GB)",0,4,1067.18
1336,"Mrs Zara Tindall",847545,JUMP,"Run A Rig (GB)",0,2,1065.90
1338,"Ms Gill Langford",1082584,JUMP,"Midnight Callisto (GB)",0,1,1053.36
1339,"Lysways Racing",1162225,JUMP,"Alchemystique (IRE)",0,2,1053.36
1340,"Middleham Park Racing XX and Partner",1165411,JUMP,"Ain't No Sunshine (IRE)",0,2,1053.36
1341,Shinobithemoney,1147882,JUMP,"Shinobi (IRE)",0,3,1050.00
1342,"The Cheltenham Trail Syndicate",1157733,JUMP,"Royal Village (IRE)",0,3,1050.00
1343,"Cotswold Stone Supplies Ltd",1161973,JUMP,"Shortcross Storm (IRE)",0,4,1050.00
1346,"Mr M. Hoskins",532836,JUMP,"Pointed And Sharp (IRE)",0,5,1050.00
1347,"Mr C. Johnston",793583,JUMP,"Secret Secret (IRE)",0,5,1050.00
1348,"Mr J. C. Haynes",518299,JUMP,"Hidden Cargo (IRE)",0,8,1050.00
1349,"Prof. Caroline Tisdall",1026327,JUMP,"Grangeclare Glory (IRE)",0,1,1043.51
1350,"Ladies In Racing",1128475,JUMP,"Right Turn (IRE)",0,3,1042.48
1351,"Seaton Partnership",985844,JUMP,"Bonnet (GB)",0,1,1040.82
1352,"Mr Gerry McGladery & Mr PJS Russell",1097553,JUMP,"Cuban Cigar (GB)",0,1,1040.82
1353,"Tweetiebirdinthehand Syndicate",1173231,JUMP,"Dalileo (IRE)",0,1,1040.82
1354,"Mrs K Exall & Mr G Molen",1150986,JUMP,"Div Ine Tara (GB)",0,2,1040.82
1355,"Absolutely Average Partnership",1174515,JUMP,"Lord Condi (IRE)",0,4,1040.82
1356,"Mr H. L. Thompson",548874,JUMP,"Thomas Cranmer (USA)",0,3,1028.24
1357,"Foxtrot Racing Socialiser",1115555,JUMP,"Socialiser (IRE)",0,1,1026.80
1358,"Mrs M. E. Oliver",527376,JUMP,"Green Winter (IRE)",0,1,1026.80
1359,"Mr J. T. B. Hunt",759019,JUMP,"Peacocks Secret (IRE)",0,1,1026.40
1364,"Four Candles Partnership",1113021,JUMP,"El Muchacho (IRE)",0,1,1003.60
1365,"Ms Julie French",753168,JUMP,"Charming Berry (IRE)",0,1,1003.60
1369,"The Philip Hobbs Racing Partnership II",1162280,JUMP,"Dan's Chosen (IRE)",0,1,1003.20
1371,"Imperium Syndicate",1161462,JUMP,"Indigo Lake (GB)",0,1,1003.20
1372,"Aliomaana Partnership",1172540,JUMP,"Aliomaana (GB)",0,2,1003.12
1373,"The Southwold Set",745541,JUMP,"Supreme Steel (IRE)",0,4,998.52
1374,"Mr P. Tory",509741,JUMP,"Universal Island (GB)",0,2,992.24
1375,"Oliver Jack Murphy",939071,JUMP,"Vokolohs (IRE)",0,3,992.24
1376,"Mrs Jane George & Mrs Helen Shelton",1118485,JUMP,"San Pedro de Senam (FR)",0,1,990.66
1377,"Howdale Bloodstock",1006995,JUMP,"Zuul (GB)",0,4,978.92
1380,"Ms J. Bennett",1158264,JUMP,"Sunduro (FR)",0,2,978.00
1381,"High and Low",1175686,JUMP,"Martalmix'jac (FR)",0,3,978.00
1382,"The Humpty Dumpties",1162977,JUMP,"Le Mur (FR)",0,5,978.00
1383,"Mr Stuart Murray",1083461,JUMP,"Bushmill Boy (GB)",0,1,972.00
1384,"Mrs Nicola Bulgin",519305,JUMP,"Gerritzen (GB)",0,2,965.58
1386,"Chase The Dream - Luna Dora",1176001,JUMP,"Luna Dora (GB)",0,3,954.56
1388,"Team ABC",1125645,JUMP,"Sami Bear (GB)",0,1,953.04
1389,"Mrs B. Ansell",539212,JUMP,"The Tin Miner (IRE)",0,1,953.04
1390,"Mr M. Jones",1154993,JUMP,"Cobbs Corner (IRE)",0,1,953.04
1391,"Mr Gary Ryan",1109628,JUMP,"Four Horsemen (IRE)",0,2,952.88
1392,"Mrs Samantha England",925426,JUMP,"The Trader (IRE)",0,5,951.17
1393,"Mr M Sawers & Miss L A Perratt",1162871,JUMP,"Keep Coming (IRE)",0,2,942.00
1397,"Mr C J Courage",501892,JUMP,"Alnitak (GB)",0,1,940.50
1398,"NHRE Racing Club",1119349,JUMP,"Kay's Light (IRE)",0,1,940.50
1399,"Venetia Williams Racehorse Syndicate V",1143642,JUMP,"Realm Keeper (USA)",0,1,940.50
1400,"Mr John Pyatt",1090317,JUMP,"Lunchable Bob (GB)",0,1,940.50
1401,"Mr Geoff Lloyd",730488,JUMP,"Kracquer (GB)",0,1,940.50
1403,"The Henry Daly Racing Club",1125082,JUMP,"Lily Glitters (GB)",0,1,927.96
1404,"Bassaire Cleanrooms Ltd.",1147797,JUMP,"Frisco Bay (IRE)",0,2,927.76
1405,"Mr G. Davies",513050,JUMP,"Iroseaboveitall (GB)",0,2,921.90
1406,"Midnight Racing Club",996248,JUMP,"Got Trumped (GB)",0,3,908.92
1407,"Clive Bartley",1171603,JUMP,"Liloo d'Ores (FR)",0,2,902.64
1408,"Mr Ian Charles Wilson",775513,JUMP,"Tom Cody (IRE)",0,1,898.10
1409,"Mr David J. Smith",833152,JUMP,"Rikoboy (FR)",0,1,897.00
1410,"Lost In The Summer Wine",925504,JUMP,"Pottlerath (IRE)",0,2,890.08
1411,"Mr Daniel Anthony Fitzsimmons",824298,JUMP,"Chancer Dancer (IRE)",0,2,883.80
1415,"JFW Properties Ltd",1094665,JUMP,"Quoteline Direct (GB)",0,2,877.52
1416,"Mr J. Sheard",770441,JUMP,"Call Me Jezza (IRE)",0,4,872.92
1417,"Mr W. M. Aitchison",526681,JUMP,"Bonny Houxty (GB)",0,2,871.24
1418,"Owners Group 077",1162451,JUMP,"Zoran (GB)",0,3,866.64
1419,"Surf On The Turf",1139093,JUMP,"Subway Surf (IRE)",0,1,865.26
1422,"Nigel Hanger & Eric Jones",962443,JUMP,"Floy Joy (IRE)",0,1,858.99
1423,"Mr Steve Atkinson",981463,JUMP,"Just Go For It (GB)",0,1,858.99
1424,"Bonita Racing Club",1056582,JUMP,"Do You Think (GB)",0,1,858.99
1425,"Tom Chadney and Friends",1070242,JUMP,"Hurricane Mitch (IRE)",0,2,858.99
1426,"Grace Harris Racing",1074752,JUMP,"Searching (IRE)",0,2,858.99
1427,"Come Dancing Partnership",1162842,JUMP,"Come Dancing (IRE)",0,2,858.99
1428,"Mr Andrew Cohen & Mr Alan Kaplan",1009216,JUMP,"What's Occurring (IRE)",0,1,854.08
1429,"Mr P. D. Niven",553574,JUMP,"Thirsty Weather (IRE)",0,2,853.12
1430,"Mr A. J. Russell",1157414,JUMP,"Hidden Depths (IRE)",0,2,846.12
1432,"Mr E. A. Brook",558660,JUMP,"Boundsy Boy (GB)",0,4,838.38
1433,"Sir A Ferguson G Mason J Hales & J Diver",1160871,JUMP,"Lakota Warrior (IRE)",0,2,821.00
1434,"Mr Rupert Lowe",1156212,JUMP,"Kingston Sunflower (FR)",0,4,821.00
1436,"Mr Charles Pelham & Mr Henry Pelham",1150974,JUMP,"Kilmington Rose (IRE)",0,2,814.72
1437,"Mr David Cohen",564198,JUMP,"Arabescato (GB)",0,1,811.38
1438,"North Counties",1175272,JUMP,"Largy Fix (IRE)",0,1,808.83
1442,"T. Syder & N. Mustoe",1077931,JUMP,"Shang Tang (IRE)",0,1,785.00
1445,"Sticky Wicket Racing",1158043,JUMP,"Howzat Hiris (FR)",0,2,780.18
1446,"Ruth Jefferson Racing Club",1134171,JUMP,"Mauritian Bolt (IRE)",0,5,780.18
1447,"Mrs J. M. Edmonds",1030149,JUMP,"Meechlands Magic (GB)",0,5,780.18
1449,"CR Lambourn, M Forbes, D Losse & Partner",1126839,JUMP,"Ickytoo (GB)",0,1,778.72
1450,"The Red and White Stripes",1138457,JUMP,"Cornell (GB)",0,3,778.72
1452,"Coxon, Daresbury, Greenall and MacEchern",1161035,JUMP,"Fraterculus (IRE)",0,2,755.06
1454,"Dr Donna Christensen",829809,JUMP,"Lamanver Storm (GB)",0,2,755.06
1455,"Foxtrot Racing Fortyfive West",1014869,JUMP,"Fortyfive West (IRE)",0,2,755.06
1456,"Mrs Kathy Stuart&Sullivan Bloodstock Ltd",1160895,JUMP,"Real Steel (FR)",0,1,753.60
1457,"Mr Alan Halsall",556729,JUMP,"Due Reward (IRE)",0,1,753.60
1458,"Mr D. McMahon",948338,JUMP,"Cenotice (GB)",0,1,753.60
1459,"Yorkshire Horseracing",1172139,JUMP,"Calculus (IRE)",0,2,753.60
1461,"Mr M. E. Sowersby",505065,JUMP,"Willa (GB)",0,6,751.92
1462,"Mr C. Helfferich",1087405,JUMP,"River Frost (GB)",0,1,744.01
1466,"The Moggy Syndicate",1173099,JUMP,"Ballinslea Bridge (IRE)",0,2,728.48
1467,"Mr Mark Rimell",510287,JUMP,"I'm A Starman (GB)",0,2,726.80
1468,"Medbourne Racing",1151473,JUMP,"Phoebus Lescribaa (FR)",0,3,720.52
1469,"The Farming Army",1110466,JUMP,"Half Shot (IRE)",0,1,715.92
1470,"Get Back Get Back",1148235,JUMP,"Get Back Get Back (IRE)",0,1,715.92
1472,"I I F T F",1158537,JUMP,"Morningside (GB)",0,3,701.68
1473,"Mr Willie Scott",1057403,JUMP,"Celtic Flames (IRE)",0,2,700.00
1474,"Mr R. J. Francome",507531,JUMP,"Havana River (IRE)",0,2,700.00
1475,"Miss B. Connop",526259,JUMP,"Phil The Thrill (FR)",0,2,700.00
1476,"J Lavelle, L Major & D Ryan",1166461,JUMP,"Shiroccan Roll (GB)",0,2,700.00
1478,"Mrs Claire Goddard",865367,JUMP,"Maykir (GB)",0,2,700.00
1479,"DYDB & Wilks Partnership",1177235,JUMP,"Known (IRE)",0,2,700.00
1480,"Ms Gilly Metherell",752757,JUMP,"Gastara (GB)",0,2,700.00
1481,"Blacklock Simpson & Partner",1132736,JUMP,"Scottish Accent (IRE)",0,2,700.00
1482,"Mr P. Boyle",1133008,JUMP,"Gordon's Jet (IRE)",0,2,700.00
1484,"optimumracing.co.uk & Mr Andrew P. Bell",1162542,JUMP,"Cape Robin (IRE)",0,2,700.00
1485,"Nigel Jones & Paul Bowden",1151009,JUMP,"Pawpaw (GB)",0,2,700.00
1486,"Foxtrot Racing Whoshotwho & Partner",1160818,JUMP,"Whoshotwho (IRE)",0,2,700.00
1487,"Maurice Friel & Mrs Mary Sadler",1141160,JUMP,"Grey Atlantic Way (IRE)",0,2,700.00
1489,"Mrs C. M. Marles",520013,JUMP,"That's Me (IRE)",0,2,700.00
1490,"Mr and Mrs D S Byers and JPG Hamilton",1133054,JUMP,"Gun Merchant (GB)",0,2,700.00
1491,"David & Carol Shaw",1102680,JUMP,"Fly Smart (FR)",0,2,700.00
1492,"The Colony Stable LLC",973390,JUMP,"Blumen Glory (IRE)",0,2,700.00
1493,"THE FALCON PARTNERSHIP",1150086,JUMP,"West End Lady (IRE)",0,2,700.00
1494,"Mr Derek Walpole",799949,JUMP,"The Very Thing (IRE)",0,2,700.00
1495,"Celtic New Bees",1175959,JUMP,"Go All The Way (GB)",0,2,700.00
