TRAINERID,TRAINERSTYLE,FULLNAME,LICENCETYPE,NUMBEROFDAYSSINCELASTWIN,COUNTY
906243,"Hugo Palmer","Hugo Bailie Rohan Palmer",Combined,4,Cheshire
981339,"Joseph Parr","Joseph Edwin Parr",Combined,42,Suffolk
717818,"Mark Pattinson","Mark Ian Pattinson",Combined,40,Surrey
858568,"Ben Pauling","Ben Peter Pauling",Combined,1,Gloucestershire
802636,"Simon Pearce","Simon Pearce",Combined,3,Suffolk
557870,"Ollie Pears","Oliver John Pears",Combined,36,"North Yorkshire"
533350,"Linda Perratt","Linda Agnes Perratt",Combined,29,Lanarkshire
513481,"Amanda Perrett","Amanda Jill Perrett",Combined,10,"West Sussex"
826444,"Pat Phelan","Patrick Michael Phelan",Combined,77,Surrey
1101978,"Kevin Philippart de Foy","Kevin Jean Daniel Philippart de Foy",Combined,2,Suffolk
538441,"Richard Phillips","Richard Timothy Phillips",Combined,4,Gloucestershire
1076050,"Ella Pickard","Ella Mary Grace Pickard",Jump,665,Somerset
505630,"David Pipe","David Edward Pipe",Combined,3,Somerset
1157391,"Charles & Adam Pogson","Charles &. Adam Pogson & A. Pogson",Combined,42,Nottinghamshire
1014141,"Joe Ponting","Joe Ponting",Combined,30,Gloucestershire
532059,"Jonathan Portman","Jonathan Guy Berkeley Portman",Combined,2,Berkshire
913220,"Ryan Potter","Ryan David Potter",Combined,76,Herefordshire
615058,"Camilla Poulton","Camilla Dawn Poulton",Combined,163,
505704,"Sir Mark Prescott Bt","Mark Prescott Bt",Combined,2,Suffolk
519838,"Richard Price","Richard John Price",Combined,64,Herefordshire
980687,"Katy Price","Katy Jane Price",Combined,101,Herefordshire
541411,"Peter Pritchard","Peter Anthony Pritchard",Jump,421,Warwickshire
500380,"John Quinn","John Joseph Quinn",Combined,13,"North Yorkshire"
790986,"Denis Quinn","Denis Patrick Quinn",Combined,41,Suffolk
937695,"Alastair Ralph","Alastair Ralph",Combined,24,Shropshire
549759,"Tim Reed","William Timothy Reed",Jump,59,Northumberland
718183,"David Rees","David Albert Rees",Jump,70,Pembrokeshire
724472,"Helen Rees","Helen Elizabeth Rees",Permit,3190,Dorset
516198,"Nicky Richards","Nicholas Gordon Richards",Combined,18,Cumbria
564101,"Lydia Richards","Lydia Richards",Combined,108,"West Sussex"
858072,"John David Riches","John David Riches",Combined,40,Lancashire
510287,"Mark Rimell","Mark Guy Rimell",Combined,48,Oxfordshire
714342,"Dave Roberts","David Bosworth Roberts",Combined,169,Shropshire
547010,"Michael Roberts","Mike John Roberts",Combined,211,"East Sussex"
619401,"Sarah Robinson","Sarah Elizabeth Robinson",Jump,5299,Somerset
765247,"Paul Robson","Paul D Robson",Jump,107,Roxburghshire
509265,"Pauline Robson","Pauline Robson",Combined,531,
510729,"Russell Ross","Russell Alan Ross",Permit,7084,"County Durham"
512856,"Brian Rothwell","Brian Samuel Rothwell",Combined,1509,"North Yorkshire"
520588,"Richard Rowe","Richard Rowe",Combined,154,"West Sussex"
516842,"Mandy Rowland","Mandy Elizabeth Rowland",Combined,617,Nottinghamshire
1159472,"Mel Rowley","Melanie Rowley",Jump,17,Shropshire
521205,"Lucinda Russell","Lucinda Valerie Russell",Combined,2,Tayside
542896,"Kevin Ryan","Kevin Anthony Ryan",Combined,9,"North Yorkshire"
504034,"John Ryan","John Barry Ryan",Combined,17,Suffolk
509364,"Aytach Sadik","Aytach Mehmet Sadik",Combined,2986,Worcestershire
524106,"Malcolm Saunders","Malcolm Sydney Saunders",Flat,26,Somerset
509535,"Dianne Sayer","Heather Dianne Sayer",Combined,3,Cumbria
501503,"Dr Jon Scargill","Jon David Scargill",Combined,108,Suffolk
867082,"Katie Scott","Katie Scott",Combined,7,
551305,"Jeremy Scott","Jeremy Richard Michael Scott",Combined,19,Somerset
898300,"George Scott","George Oliver Scott",Combined,12,Suffolk
781931,"Michael Scudamore","Michael Scudamore",Combined,31,Herefordshire
554080,"Derek Shaw","Derek Shaw",Combined,11,Leicestershire
504771,"Fiona Shaw","Fiona Mary Shaw",Jump,496,Dorset
524280,"Matt Sheppard","Matthew Ian Sheppard",Jump,21,Herefordshire
514441,"Oliver Sherwood","Oliver Martin Carwardine Sherwood",Combined,117,Berkshire
1068537,"Oliver Signy","Oliver Boteler Signy",Combined,69,Berkshire
621850,"David Simcock","David Martin Ioan Simcock",Combined,2,Suffolk
848380,"Dan Skelton","Daniel Nicholas Skelton",Combined,19,Warwickshire
533483,"Pam Sly","Pamela Marigold Sly",Combined,7,Cambridgeshire
527365,"Bryan Smart","Bryan Smart",Combined,17,"North Yorkshire"
551726,"Martin Smith","Martin Philip Bruce Smith",Combined,24,Cambridgeshire
563862,"Sue Smith","Susan Jane Smith",Combined,110,"West Yorkshire"
544968,"R. Mike Smith","Robert Michael Smith",Combined,19,Ayrshire
555213,"Julian Smith","Julian Simon Smith",Jump,125,
952530,"Paula Smith","Paula Smith",Permit,1024,Yorkshire
615160,"Suzy Smith","Suzy Jane Smith",Combined,209,"West Sussex"
743602,"Jamie Snowden","James Edward Snowden",Combined,4,Berkshire
505065,"Mike Sowersby","Michael Edward Sowersby",Combined,342,"North Yorkshire"
555829,"John Spearing","John Lionel Spearing",Combined,33,Worcestershire
829212,"Seb Spencer","Sebastian Spencer",Combined,7,"North Yorkshire"
930468,"Richard Spencer","Richard Gerald Russell Spencer",Combined,2,Suffolk
862507,"Henry Spiller","Henry Charles Spiller",Combined,46,Suffolk
825438,"Daniel Steele","Daniel Robert Steele",Combined,40,"West Sussex"
701936,"Jackie Stephen","Jacqueline Sally Stephen",Combined,143,Roxburghshire
812877,"Robert Stephens","Robert David Stephens",Combined,21,Gwent
508790,"John Stimpson","John Thomas Stimpson",Combined,158,Staffordshire
799771,"William Stone","William Brian Stone",Combined,53,Cambridgeshire
542953,"Wilf Storey","Wilfred Luke Storey",Combined,467,"County Durham"
543965,"Sir Michael Stoute","Michael Ronald Stoute",Flat,2,Suffolk
774850,"Ali Stronge","Alexandra Stronge",Combined,59,Berkshire
509432,"Linda Stubbs","Linda Stubbs",Combined,178,"North Yorkshire"
831355,"Tom Symonds","Thomas Rowland Symonds",Combined,160,Herefordshire
734055,"James Tate","James Julian Stuart Tate",Combined,21,Suffolk
535430,"Tom Tate","Thomas Patrick Tate",Combined,7,"North Yorkshire"
525382,"Phillippa Taylor","Phillippa Taylor",Permit,,Oxfordshire
541124,"Colin Teague","Colin James Teague",Combined,101,"County Durham"
521884,"Roger Teal","Roger Alan Teal",Combined,3,Berkshire
778412,"Sam Thomas","Samuel James Thomas",Combined,100,"South Glamorgan"
940481,"Joanne Thomason-Murphy","Joanne Elizabeth Thomason-Murphy",Permit,80,Essex
615439,"David Thompson","David William Thompson",Combined,27,"County Durham"
546332,"Ronald Thompson","Ronald Thompson",Flat,709,"South Yorkshire"
501696,"Victor Thompson","Victor Thompson",Permit,533,Northumberland
519707,"Sandy Thomson","Alexander Moffat Thomson",Combined,144,Berwickshire
909716,"Joe Tickle","Joe Tickle",Combined,45,Devon
561414,"Nigel Tinkler","Nigel Delfosse Tinkler",Combined,3,"North Yorkshire"
544095,"Colin Tizzard","Colin Leslie Tizzard",Combined,160,Dorset
556502,"Sir Mark Todd","Mark James Todd",Combined,10,Wiltshire
701892,"Martin Todhunter","Duncan Martin Todhunter",Combined,21,Cumbria
619633,"Marcus Tregoning","Marcus Philip Norris Tregoning",Combined,8,Hampshire
507056,"Grant Tuer","Grant Fraser Tuer",Flat,3,"North Yorkshire"
547399,"Joseph Tuite","Joseph Mary Tuite",Combined,107,Berkshire
552788,"Bill Turner","William George Michael Turner",Combined,102,Dorset
522329,"Nigel Twiston-Davies","Nigel Anthony Twiston-Davies",Combined,7,Gloucestershire
501252,"Mark Usher","Mark Donald Ian Usher",Combined,15,Berkshire
726948,"Roger Varian","Roger Patrick Varian",Combined,1,Suffolk
724114,"Tim Vaughan","Timothy Edward Vaughan",Combined,114,"South Glamorgan"
511446,"Lucy Wadham","Lucy Ann Mhari Wadham",Combined,18,Suffolk
541225,"Tracy Waggott","Tracy Waggott",Combined,42,"County Durham"
534261,"John Wainwright","John Stanley Wainwright",Combined,28,"North Yorkshire"
556520,"Robert Waley-Cohen","Robert Bernard Waley-Cohen",Permit,218,Oxfordshire
765784,"Mark Walford","Mark Thomas Walford",Combined,7,"North Yorkshire"
744578,"Robert Walford","Robert Andrew Walford",Combined,1,Dorset
864687,"Ed Walker","Edward Charles Deverill Walker",Combined,3,Berkshire
507857,"Chris Wall","Christian Frederick Wall",Flat,1,Suffolk
561904,"Trevor Wall","Trevor Richard Wall",Combined,2217,Shropshire
795827,"Charlie Wallis","Charles Benjamin Wallis",Combined,224,Essex
737412,"Jane Walton","Jane Margaret Walton",Jump,499,"Tyne and Wear"
531167,"James Walton","James Brewis Walton",Permit,112,Northumberland
969736,"Tom Ward","Thomas Dudley Ward",Combined,1,Berkshire
1004853,"Archie Watson","Archie Maximilian Bannatyne Watson",Combined,6,Berkshire
517238,"Fred Watson","Frederick Watson",Combined,810,Cleveland
528152,"Simon Waugh","Simon George Waugh",Combined,116,Northumberland
601359,"Mark Weatherer","Mark Weatherer",Combined,70,Yorkshire
516328,"Paul Webber","Paul Richard Webber",Combined,218,Oxfordshire
713533,"Simon West","Simon Gary West",Combined,202,"North Yorkshire"
532550,"Sheena West","Sheena West",Combined,6,"East Sussex"
896959,"Adam West","Adam West",Combined,8,Surrey
895601,"David Weston","David John Weston",Combined,4,Wiltshire
855794,"Tom Weston","Thomas Henry Weston",Jump,156,Worcestershire
798621,"Ewan Whillans","Ewan Alistair Whillans",Combined,3,Roxburghshire
510935,"Donald Whillans","Donald Wilson Whillans",Combined,164,Roxburghshire
520857,"Simon Whitaker","Simon Richard Whitaker",Combined,9,"West Yorkshire"
907865,"Harry Whittington","Christopher Henry Oliver (Rides as Harry) Whittington",Combined,38,Oxfordshire
545327,"Michael Wigham","Michael Wigham",Combined,163,Suffolk
555679,"Martin Wilesmith","Martin Shaw Wilesmith",Permit,,Gloucestershire
784135,"Olly Williams","Oliver Rhys Williams",Combined,66,Lincolnshire
532499,"Mrs Jane Williams","Jane Rosemary Williams",Combined,194,Devon
529702,"Stuart Williams","Stuart Charles Williams",Flat,9,Suffolk
522849,"Evan Williams","Richard Evan Rhys Williams",Combined,38,"Vale of Glamorgan"
727171,"Noel Williams","Noel Williams",Combined,135,Oxfordshire
537257,"Ian Williams","Ian Paul Williams",Combined,4,
753895,"Christian Williams","Christian Robert Powell Williams",Combined,37,"Mid Glamorgan"
528875,"Venetia Williams","Venetia Mary Williams",Combined,140,Herefordshire
501274,"Lisa Williamson","Lisa Victoria Williamson",Combined,2,Clwyd
611694,"Andrew Wilson","Andrew Christopher Wilson",Jump,650,Cumbria
558045,"Ken Wingrove","Kenneth George Wingrove",Combined,6020,Shropshire
539600,"Peter Winks","Peter Winks",Combined,190,"South Yorkshire"
505155,"Adrian Wintle","Adrian Allan Wintle",Combined,7,Gloucestershire
726789,"Rebecca Woodman","Rebecca Elizabeth Woodman",Combined,37,"West Sussex"
519153,"Steve Woodman","Stephen Woodman",Combined,1432,"West Sussex"
804516,"Cynthia Woods","Cynthia Woods",Jump,211,"East Sussex"
555696,"S. P. C. Woods","Sean Peter Charles Woods",Combined,11,Suffolk
847860,"Kayley Woollacott","Kayley Woollacott",Jump,108,Somerset
558003,"Phil York","Phillip York",Permit,424,Surrey
604529,"William Young Jnr","William Young",Permit,221,Lanarkshire
1087660,"Max Young","Maxwell James Young",Combined,279,Worcestershire
545990,"Laura Young","Laura Jayne Young",Combined,187,Somerset
